Date,temp_airport
2015-08-03,19.9
2015-08-04,15.7
2015-08-05,15.9
2015-08-06,15.4
2015-08-07,18.1
2015-08-08,15
2015-08-09,17.8
2015-08-10,21.3
2015-08-11,21.8
2015-08-12,19.1
2015-08-13,19.7
2015-08-14,19
2015-08-15,16.8
2015-08-16,20.8
2015-08-17,21.2
2015-08-18,14.9
2015-08-19,17.6
2015-08-20,20.9
2015-08-21,23.9
2015-08-22,28.9
2015-08-23,19.7
2015-08-24,17.6
2015-08-25,21.1
2015-08-26,18.8
2015-08-27,22.7
2015-08-28,18.9
2015-08-29,20.9
2015-08-30,16.1
2015-08-31,16.6
2015-09-01,17.4
2015-09-02,20
2015-09-03,20.8
2015-09-04,17.2
2015-09-05,19.4
2015-09-06,17.4
2015-09-07,24.9
2015-09-08,20.1
2015-09-09,17.7
2015-09-10,18.9
2015-09-11,22.9
2015-09-12,26.1
2015-09-13,24.4
2015-09-14,23.9
2015-09-15,30.5
2015-09-16,20.2
2015-09-17,18.3
2015-09-18,17.9
2015-09-19,20.8
2015-09-20,18.4
2015-09-21,24.5
2015-09-22,17.6
2015-09-23,14.3
2015-09-24,14.5
2015-09-25,17.3
2015-09-26,19.4
2015-09-27,18.2
2015-09-28,20.3
2015-09-29,25
2015-09-30,21.6
2015-10-01,24.8
2015-10-02,23.5
2015-10-03,31.3
2015-10-04,34.9
2015-10-05,37.5
2015-10-06,36.4
2015-10-07,20.3
2015-10-08,21.5
2015-10-09,24.7
2015-10-10,26.2
2015-10-11,26.1
2015-10-12,29.7
2015-10-13,21.7
2015-10-14,25.4
2015-10-15,26.2
2015-10-16,32
2015-10-17,24.5
2015-10-18,22.6
2015-10-19,27.1
2015-10-20,30.7
2015-10-21,29.1
2015-10-22,20.3
2015-10-23,19.4
2015-10-24,24
2015-10-25,25.8
2015-10-26,26.4
2015-10-27,18.4
2015-10-28,21.8
2015-10-29,23.3
2015-10-30,24.8
2015-10-31,25.9
2015-11-01,28.7
2015-11-02,31.6
2015-11-03,19.6
2015-11-04,19.6
2015-11-05,23.6
2015-11-06,30
2015-11-07,24.1
2015-11-08,20.2
2015-11-09,23.3
2015-11-10,27.3
2015-11-11,24.4
2015-11-12,26.4
2015-11-13,28.4
2015-11-14,20.8
2015-11-15,19.7
2015-11-16,22
2015-11-17,26.2
2015-11-18,37.1
2015-11-19,35
2015-11-20,42.8
2015-11-21,22.1
2015-11-22,23.2
2015-11-23,23.8
2015-11-24,26.7
2015-11-25,33.8
2015-11-26,39.2
2015-11-27,24.4
2015-11-28,24.6
2015-11-29,27.8
2015-11-30,28.5
2015-12-01,37.9
2015-12-02,20.4
2015-12-03,23.4
2015-12-04,24.2
2015-12-05,27.5
2015-12-06,27.8
2015-12-07,26.7
2015-12-08,26.4
2015-12-09,33.3
2015-12-10,26.5
2015-12-11,37
2015-12-12,23
2015-12-13,26.4
2015-12-14,29.2
2015-12-15,28.6
2015-12-16,24.6
2015-12-17,27.6
2015-12-18,29.9
2015-12-19,33.4
2015-12-20,32
2015-12-21,27
2015-12-22,21.7
2015-12-23,23.8
2015-12-24,25.4
2015-12-25,26.6
2015-12-26,28.1
2015-12-27,20.6
2015-12-28,21.4
2015-12-29,23.8
2015-12-30,24.9
2015-12-31,28.7
2016-01-01,26.5
2016-01-02,25.3
2016-01-03,24.3
2016-01-04,25.4
2016-01-05,21
2016-01-06,19.2
2016-01-07,22.3
2016-01-08,25.8
2016-01-09,26
2016-01-10,28.8
2016-01-11,34.6
2016-01-12,33.6
2016-01-13,31.1
2016-01-14,40.6
2016-01-15,20.4
2016-01-16,22.9
2016-01-17,25.1
2016-01-18,27.6
2016-01-19,33.3
2016-01-20,40.3
2016-01-21,37.8
2016-01-22,26.9
2016-01-23,24.7
2016-01-24,25.3
2016-01-25,25
2016-01-26,27.5
2016-01-27,26.4
2016-01-28,29.4
2016-01-29,29.9
2016-01-30,26.3
2016-01-31,31.8
2016-02-01,24.8
2016-02-02,26.1
2016-02-03,31
2016-02-04,23.7
2016-02-05,23.9
2016-02-06,26.7
2016-02-07,26.5
2016-02-08,27.1
2016-02-09,26.7
2016-02-10,30
2016-02-11,27.9
2016-02-12,29.2
2016-02-13,30.6
2016-02-14,36.9
2016-02-15,27.3
2016-02-16,26.5
2016-02-17,24
2016-02-18,26.7
2016-02-19,31.9
2016-02-20,27.9
2016-02-21,26.7
2016-02-22,31.1
2016-02-23,31.1
2016-02-24,32
2016-02-25,37.8
2016-02-26,27.5
2016-02-27,28.5
2016-02-28,27.9
2016-02-29,24.9
2016-03-01,30.2
2016-03-02,30.6
2016-03-03,31
2016-03-04,30.4
2016-03-05,30
2016-03-06,29.9
2016-03-07,30.4
2016-03-08,29.8
2016-03-09,31.7
2016-03-10,25.3
2016-03-11,29.5
2016-03-12,30.9
2016-03-13,29.6
2016-03-14,29.9
2016-03-15,23.9
2016-03-16,24
2016-03-17,27
2016-03-18,29.1
2016-03-19,21.6
2016-03-20,21
2016-03-21,20.3
2016-03-22,21.3
2016-03-23,25
2016-03-24,29.4
2016-03-25,25.4
2016-03-26,26.3
2016-03-27,25.5
2016-03-28,24.4
2016-03-29,22
2016-03-30,27.8
2016-03-31,23
2016-04-01,27.1
2016-04-02,30.4
2016-04-03,24.3
2016-04-04,24.3
2016-04-05,27.3
2016-04-06,34.7
2016-04-07,20.5
2016-04-08,21.7
2016-04-09,23.2
2016-04-10,28
2016-04-11,24.1
2016-04-12,21.5
2016-04-13,23.5
2016-04-14,24.2
2016-04-15,26.3
2016-04-16,27.1
2016-04-17,21.7
2016-04-18,22.1
2016-04-19,22.8
2016-04-20,25
2016-04-21,27
2016-04-22,23.4
2016-04-23,21
2016-04-24,22
2016-04-25,21.9
2016-04-26,23.2
2016-04-27,25.3
2016-04-28,27.2
2016-04-29,26.5
2016-04-30,26.9
2016-05-01,28.1
2016-05-02,23.8
2016-05-03,26.9
2016-05-04,25.8
2016-05-05,24.5
2016-05-06,25.1
2016-05-07,24.5
2016-05-08,21.8
2016-05-09,23.4
2016-05-10,25.2
2016-05-11,23.7
2016-05-12,25
2016-05-13,26.1
2016-05-14,26.4
2016-05-15,26
2016-05-16,24.5
2016-05-17,28.9
2016-05-18,22.4
2016-05-19,23.8
2016-05-20,22.6
2016-05-21,21.2
2016-05-22,23.7
2016-05-23,28.3
2016-05-24,22.3
2016-05-25,21.7
2016-05-26,21.8
2016-05-27,18.6
2016-05-28,15.2
2016-05-29,18.9
2016-05-30,18
2016-05-31,16.5
2016-06-01,16.8
2016-06-02,18
2016-06-03,18.8
2016-06-04,21.7
2016-06-05,20.2
2016-06-06,18.2
2016-06-07,19.4
2016-06-08,21.7
2016-06-09,23.1
2016-06-10,22.4
2016-06-11,20.3
2016-06-12,18.2
2016-06-13,19.6
2016-06-14,22.2
2016-06-15,20.6
2016-06-16,22.5
2016-06-17,20.5
2016-06-18,20.8
2016-06-19,20.4
2016-06-20,20.9
2016-06-21,19.3
2016-06-22,20.9
2016-06-23,19.5
2016-06-24,17.6
2016-06-25,13.6
2016-06-26,16.1
2016-06-27,11.6
2016-06-28,15.4
2016-06-29,18.1
2016-06-30,17.8
2016-07-01,16.4
2016-07-02,18.3
2016-07-03,18
2016-07-04,15.8
2016-07-05,19.1
2016-07-06,18.4
2016-07-07,17.2
2016-07-08,17.6
2016-07-09,16.7
2016-07-10,19
2016-07-11,19.6
2016-07-12,21.4
2016-07-13,14.5
2016-07-14,17.3
2016-07-15,17.1
2016-07-16,17.4
